"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
,"面白く楽しく読んでいます
ただ、最近気になるのが説明が多すぎて、ノリが悪いと言うか、スピード感が失われているのが気になりました
○○のモンスターの説明ウンタラカンタラ、サンラクは××なアイテムを使う。この効果はウンヌンカンヌン。そして更に□□のスキルを使用しドウタラコウタラな状態になる。そして敵はスキルを使い・・・、みたいな情景ではなく、ゲームでヘルプ欄を見ているような感覚になります
個人的な好みかと思いますが、以前は一つ一つ説明しない、良い不親切さが有ったと思います
",,割とそこ改善点なので具体的に文章として指摘していただいてマジでありがたいです……ちょっと今後の参考にさせていただきます,2020年 02月14日 20:55,2020年 02月15日 5:26
,,天霊さんに誘い受けの波動を感じる,死ぬまでガン攻めお姉さんです,2020年 02月15日 10:44,2020年 02月15日 10:45
鬼畜な前提条件の上にセット運用の防具が女性専用装備なの言ってないけど大丈夫？,,,お前あの服が男用に見えるの？という無言のツッコミ,2020年 02月15日 10:36,2020年 02月15日 10:46
,"要するに、サンラクさんは平均プレイヤーおよそ1億人分の情報持ってるってこと？
歩くブラックボックスじゃん",,というか十万自体そんな難しいノルマじゃない、なんならほら、あの……リベ、ベ……？君でも余裕で達成できる,2020年 02月15日 13:30,2020年 02月15日 13:32
,,"ヴァイスアッシュオジキからやべー武器渡されてたと思うんですけどあれも計算に入ってるんですか？？それとも本来プレイヤーに渡らないブツだからイレギュラー扱いで数値含まれてない感じですか？
気になってそろそろ古戦場が始まることに向き合えないです。",4000億マギバイトを占めているのがそのレンタル刀です,2020年 02月15日 21:07,2020年 02月15日 21:45
同時更新とか最高かよ,"エムルもインベントリあるのか

野良のヴォーパルバニーや人間のNPCってインベントリありましたっけ？　エムル達ヴァッシュチルドレンとの違いとかも気になります",,実は野生のヴォーパルバニーもインベントリを持っている。ただ出力系統が違うので死んでも中身がぶちまけられずそのまま世界から消失する,2020年 02月17日 17:09,2020年 02月17日 17:11
更新、ゴチになります,そういえば神代ってちゃんとヤードポンド法撲滅できたんですか？,エレボス側って始原眷「属」じゃあないんですか？,撲滅してもらいました,2020年 02月18日 21:29,2020年 02月18日 21:35
,,サンラクの回答、隔てる大白壁と思ったけど違うんか…,あれは擬態とはちょっとだけ違う,2020年 02月18日 22:00,2020年 02月18日 22:34
,6層に「鍵」シリーズを売ってないならどうやって買ったタイプメンをインベントリに入れるんですか？,,「象牙」は疑問符を浮かべている！（そんなことも考慮せずに購入したんですか？という顔）,2020年 02月19日 7:54,2020年 02月19日 7:59
,,サンラクくんって、罵詈雑言なら蠍語も含めて何カ国語くらいで煽れるんだろうか(・∀・),罵倒覚えるために直前までギスってた相手と発音練習で盛り上がれるのがサンラクという男,2020年 02月19日 20:59,2020年 02月19日 21:02
,なんでロシア語なんですか？気になって夜しか眠れません,,"中国に大穴空いて中東が人の住めない土地になってオーストラリアが食べ残したクッキーみたいになった世界ですからね
水面下で「あいつら死なねーかな」と思いつつ造ったバハムートもある程度奥に柄があるのです

ジズがEU
リヴァイアサンがUS
で、ベヒーモスがロシアをトップとしたユーラシアのアジア側残党で構成されてるんです（ジャパァーンはアメリカに尻尾振ったのでリヴァイアサン）",2020年 02月19日 21:05,2020年 02月19日 21:09
ドッヂボールが強そうな点,征服人形の契約者は全員この道を通るのか,やりやがりましたね（褒め言葉,何がタチ悪いって「象牙」は別にサイナに対して苛めてるわけじゃないってのが一番タチ悪い、本当にタチが悪い,2020年 02月19日 21:03,2020年 02月19日 21:14
,,中継蠍は中継蠍で他の蠍にはない固有のドロップがあるんですかね？,あれ、皇金世代からの魔力波長で無理やり生えたイボみたいなもんなので……,2020年 02月20日 16:49,2020年 02月20日 16:57
,,ジュビロ式で富士鷹ジュビロが出たMeはようちえんじですよ,正解,2020年 02月20日 17:25,2020年 02月20日 17:32
,"エムルはラビッツに一時帰還しましたか？それとも象牙の所でお留守番ですか？
まあどちらにせよ、マブダチの所に連れては行けませんよね。",317が元気出して、またインテリジェンス インテリジェンス言ってるところを見たいなぁ。,ちょっとずつ快適さが上がってきている路地裏で待機中,2020年 02月20日 18:01,2020年 02月20日 18:10
,,"空耳の内容で時期が特定できるらしいよ。
僕は通風性じゃなくてうつ伏せ派です（）",アレは通風性と聞こえるシーンとうつ伏せと聞こえるシーンがあるので実は両立できる,2020年 02月20日 21:47,2020年 02月21日 0:41
,,蠍は中継個体間引かれてフリーズしてるだけでしょ,"そう、指示待ち蠍なので電波が圏外になって凍った
なまじ皇金世代が生きてるからこそ目の前の「敵」を潰すためにいつも通り動いていいのかすら判断できないのです

まぁ流石に命の危機になったら普通に迎撃しますが",2020年 02月21日 8:45,2020年 02月21日 9:56
,"> 「あーはいはい回復ポーション渡すの忘れてましたね！！」
ってのが、征服人形も部位欠損とかしてない限り、ポーションで直るって話なのか、単に「あー、破損してたね。忘れてた」くらいの意味合いなのか。",,肉体を構築する物質がタンパク質に近い別物質、人型なのもあって回復ポーションの効果が適用される,2020年 02月21日 12:12,2020年 02月21日 12:19
,,蚤が人間に挑むことは勇気とは呼べないってどこかの紳士が言ってたけど、紙装甲が合金装甲な聖剣使い蠍に挑むことは勇気と呼べるのだろうか？,勝つつもりか否かじゃないですかね、勝算があるならジャイアントキリングの第一歩です,2020年 02月21日 12:37,2020年 02月21日 12:42
皇帝蠍の絶対強者感が堪らなく大好きです,,"勇者王も大好きですが、勇者特急も大好きです。
色々ありますが、体調に気を付けてください。",僕は勇者警察！！！！,2020年 02月21日 15:00,2020年 02月21日 17:10
,,アイデンティティ問題とかくそつまんねーから早くNPC死ぬかどうかのガチバトルやれよ,それな、NPCであっても適度に瀕死にしたいですね……,2020年 02月21日 18:39,2020年 02月21日 18:51
,,サンラクがどこか本気になれないのはNPC死んでないからなんだよ　神ゲーはNPC死んだらほんとになんかスイッチ入るんだよ　で最初のクソヒロとつながるじゃん　まあいいや荒らしてごめんなさい,日和るな、もっと尖っていけ,2020年 02月21日 20:42,2020年 02月21日 22:12
更新ありがとうございます,エクゾーディナリー発見のアナウンスって一度流れたら、他のプレイヤーが遭遇しても流れないんですか？,,それだーーーーっ！！（何を忘れていたのかを思い出した）,2020年 02月22日 8:46,2020年 02月22日 9:06
"NPC死ぬの嫌だな…好きなキャラ達が死んだら、そのキャラの活躍を永遠に見れなくなるジャン…この作品、魅力的なNPCキャラ多いし

キャラに想い入れがないorキャラよりも作品の質が大事な人の意見も分からなくないけど自分はキャラを通じて作品を好きになるタイプだからエムルやサイナ達が死んだらショックで寝込みそうなので殺さないで欲しいです(勝手な意見でゴメンなさい",,,それもまた一興……まぁそこらへんは揺るがぬ心で書いていくつもりなので,2020年 02月22日 10:32,2020年 02月22日 11:12
,サイナってロボ娘ですけど回復ポーションで回復出来るんですか？有機的生命ではない気が……,,"回復ポーションって別に人間限定じゃないですからねアレ
「治療」の効果が宿った液体魔力と考えればわかりやすいかもです",2020年 02月22日 9:34,2020年 02月22日 11:13
,む、回復ポーションでサイナが回復するなら最初遭遇したときなんで戦術機獣でパーツを保管するみたいなやり方したんですか…？欠損はポーションじゃ回復しない的な感じですか……？,,欠損は無理,2020年 02月22日 17:26,2020年 02月22日 22:51
,閃刀術式ベクタードブラストかな？,,元々ベクタードスラストという単語があることを知って、あのイラストがハヤテの推進器を武装転用してるからベクタード「ブラスト」なんだと最近知りました,2020年 02月23日 12:34,2020年 02月23日 19:35
,壊毒なくても部位破壊出来るんだ…,,壊毒は「破壊属性を含む状態異常」なのでつまり破壊属性とは厳密には別物,2020年 02月23日 23:03,2020年 02月23日 23:05
そういえば遊戯王のマスターブック読みました？ガラテアちゃんの設定がエモいですよ！リースやイヴと同一人物じゃない別人でスゴい良い娘でした！,,,当然履修済み,2020年 02月24日 2:11,2020年 02月24日 7:44
,,"サンラクこいつ初見の高難度ボス相手に高性能とはいえNPC抱えて2時間死なずに耐久してるってマジで頭おかしいな
フロムゲーのボス相手と想定して考えるとスタミナがバグってる",目が疲れることがないし指がつることもないそもそも肉体は爆睡中なのでメンタリティが疲弊しない限りは戦闘を継続できる……先天的にせよ後天的にせよそういう連中が集まったのが鯖癌,2020年 02月26日 22:07,2020年 02月27日 8:11
,,ここだけではないのですが、表現の重複などの所為で文章にくどさがある。,反省点ですね……,2020年 03月01日 18:13,2020年 03月01日 18:48
,"今、久々に最新話から読み返してるけど。
この当たりってだいぶ端折られました？
ディンギー☆とかどこいったんだろうと思って？
1人三体の勝ち抜きじゃなかったっけ？
あれ？記憶違い？",,もしかして：シルヴィア戦のほうのGH:C編,2020年 03月01日 11:47,2020年 03月01日 18:50
,"多分そうです！
ヤク中妖精がイアイフィスト流繰り出しながら飛び回るやつ！

シルヴィア編ってどこで読めるようになってます？",,シルヴィア編はクターニッドのところでアメリア編はオルケストラ前編,2020年 03月01日 22:03,2020年 03月01日 22:11
,,右腕食いちぎられてるのに右手首にあったインベントリア無事だったのは何故？,"食いちぎられたのは左でインベントリアが付いてたのも左
で、インベントリアはアイテムの出し入れに関してはインベントリア本体がなくても発動可能（装備時点で肉体機能として融合しているため）",2020年 03月01日 20:01,2020年 03月01日 22:12
最近だと鉛筆達がしてた死なば諸ともの時みたいな、身内でアホなやりとりしてる回が好き,,ハー○ルンの小説検索で原作カテゴリ一覧の中にシャンフロが入ってるのを最近初めて知ったけども、作者さん的にはどんな気持ちなんだろう……？,とてもびっくりした,2020年 03月02日 3:50,2020年 03月02日 11:41
"周りに水晶蠍なるわけで戦い終わったら、群がられない？

",,,うふふ,2020年 03月02日 20:02,2020年 03月02日 20:02
,,"タンクはちょっと堅いDPSでヒーラーは回復もできるDPSでバッファーは支援ができるDPSのことでしょ？
だからお前もDPS神の信者になるんだよ！",バッファーは他の人よりもDPSの神に近い者が担う神官ポジション,2020年 03月02日 20:40,2020年 03月02日 20:50
,最近よく聞くようになった表現なのですが、「思わず」と「したくなる」は相反する表現です。「したくなる」は心の中で「思った」ことなので、「思わず」にはならないです。「したくなる」と書くならば「つい」だと思います。,,はぇー為になる……ありがとうございます、物書きの端くれとしては文章の正しさは大事ですからね……,2020年 03月02日 20:53,2020年 03月02日 21:17
なんというか思いついたの片っ端から勢いで組み立ててるなろうの九龍城みたいな作品だけどそれで面白いのは才能だよなって思うよね,,,流石に自分に関するものを九龍城に例えられたのは人生初体験過ぎる……,2020年 03月03日 1:56,2020年 03月03日 1:59
,ぶっちゃけどれくらいの再現度なんですかこれ？,コード・トーカーと聞くとどうしてもブレインズが思い浮かぶ……。遊戯王ロスがまだ抜けてないか。,九割くらいは,2020年 03月05日 19:01,2020年 03月05日 19:03
,,"＞シュテルンブルーム
正直、ツクヨの異常性を鑑みるとどんだけ語られても
ツクヨが設定したアイドルが魅力的なアイドルだと思えないというか。
ツクヨが魅力的だと思う女性像、アイドル像の時点で
一般人からすると反吐が出る難物なんだろうなぁと察せざるを得ない……。",安心していいですよ、原案はあいつじゃないんで,2020年 03月07日 14:21,2020年 03月07日 14:31
ちょっとだけ、続き気になりました。勢いはすごいです。,難しい漢字が目に付きました。,24時間以内に2話読む可能性30%くらい、2話読む可能性50%くらいです。,ガチャと比べたら実質100%ですね、間違いない,2020年 03月10日 15:04,2020年 03月11日 8:55
,あれ？やべー薬キメたあとに鉛筆死んでますけど効果持続するんですか？,,する、使った時点でリスポンしても総量が削れ続ける,2020年 03月11日 16:15,2020年 03月11日 20:53
,,あぁ.........ジーク・リンドヴルムさんってどちらかと言うとロマンを追い求めるサンラク系統の人なんですね,旅パに金の王冠使うタイプ,2020年 03月12日 0:16,2020年 03月12日 0:20
,,これってNPCと結婚できる？出来たらラブコメムーブできるからそれで楽しんでそうなプレイヤーがいそうやな,残念ながら無理、ゲームにするにあたって創世さんがオミットした,2020年 03月12日 10:39,2020年 03月12日 10:58
恋愛弱者のヒロインちゃんがAIの兎(牝)にNTRされそうな位にサンラクさんとエムルさん夫婦してませんかねぇ(ニチャァ,,,"現状オプションパーツ>>>ヒロイン
な悲しみ、まぁそうしたの私ですけどね！！！",2020年 03月12日 10:18,2020年 03月12日 10:59
,,クソゲー鑑定か……ぶっちゃけ、ベヒーモス九層の方がクソゲー展開ではありますね。クソゲーと言うよりはファミコン時代の「中古対策で説明書なしでは最初に何したらいいかわからないゲーム(星をみるひとなど)」に近いかな？,象牙「ヒントならすでにいっぱい用意してるんですけどね」,2020年 03月13日 10:57,2020年 03月13日 10:59
幕末も読みたかったけど、これも面白そうなので楽しみ,海外留学勧めてるのって石動って人？,,せやで、自分も海外留学するからヒロインちゃんも一緒に来てほしいんやで,2020年 03月13日 10:58,2020年 03月13日 11:00
,"会長主観だとサンラクどういう扱いなんだろう？

","これこれまでの要素通じて解けというパターンか……。
どっかのトリガシラが爆速で進んでいったから大して考案時間使わなかったから深掘りせずに行っ弊害じゃな。",フクカイチョは対抗心メラメラだけどサンラクの主観的にはもう顔の記憶がない,2020年 03月13日 11:13,2020年 03月13日 11:20
,"サンラクが臨界速と超速の連結スキルを獲得したとして、同時に発動できますか？同時発動したらどうなりますか？
",,あれは同時発動できない、出力系が一緒なので,2020年 03月17日 2:18,2020年 03月17日 7:44
2828が止まらない,憑依させたのが万姉様だったらどうなってたんでしょ,,万は母です,2020年 03月18日 10:34,2020年 03月18日 11:07
武田氏の熱いけど容赦ない点数付け,武田氏の仲間勢が全員社会戦強そうな方々っぽいっすねぇ,ああ、そこまで砕けてはいない、良くて秀才止まり的な３人かぁ,趣味で実益を運営できる連中ってことです,2020年 03月19日 13:50,2020年 03月19日 13:51
,,カブ農家さんお金払いすぎでしょ,幾度とない大暴落を生き延びてきただけのことはあります、総資産は億単位……！！,2020年 03月19日 18:03,2020年 03月19日 19:27
,,"武田氏に辛い点数をつけられて涙目になるサンラクさんが微笑ましいですわね
年長者に囲まれるサンラクさんはレアで眼福ですわ",武田氏はそういうところ一切妥協しないから……,2020年 03月25日 16:14,2020年 03月25日 18:32
,そういや元のベース弄ったサンラクの女体は前回と変わらん見た目なんかな？言及してるっけ…,,ちょっと幼くなってる、つまりサバイバアルがヤバイバアル,2020年 03月28日 15:33,2020年 03月28日 16:04
ルティアさんってロリ体型なんですか？ロリコンのサバイバアルが反応する辺りウィンプより幼い外見ということですか？,,,スレンダー美人、着痩せしているのかそうでないのかは永遠の謎,2020年 03月29日 4:14,2020年 03月29日 10:09
,,"更新お疲れ様です。
卵をバカスカ産むだけで、しかも体力ショボイのに生態系の頂点に立っていることがちょっと気になりますね。どちらかというと生態系の下層っぽい能力だと思いました。",ダメージ1のつつくが1000ヒットするならそれは1000ダメージと言ってもいい、そうは思いませんか,2020年 03月31日 14:59,2020年 03月31日 15:06
,,"出来そうだからってやっていいことと悪いことがあるぞ象牙ぇ！？って言おうとしてたらなんじゃこのキメラ！！
あ、でも実質魔力だけで食料生産出来るとか割りとチートでは？",オンオフはあってもハイロウがないから,2020年 03月31日 18:48,2020年 03月31日 20:59
,"ベイビーハート…
超高速ハイハイしながら向かうのかな？？？

あと対戦相手がメスだったらどうなんの？
ママ味感じたら受けるだけ受けて胸押し付けられて（搾乳）のカウントで沈むの？",,「反抗期だぜ」っておしゃぶりチュパりながらパワーボムする,2020年 04月02日 21:36,2020年 04月02日 21:38
"鎧闘士、地味にvPスキルもvMスキルも求められるエグイ要求だぁ
剣聖並みのスペックってこの赤ちゃん地味にすごい人なのでは？？？",,,化けの皮剥がれる前までは結構すごい人だったんですよ,2020年 04月02日 21:34,2020年 04月02日 21:39
"エタゼロ氏キャラが濃すぎww
今後も登場して欲しいなぁ",鎧闘士はNPCのスポンサーが死亡もしくは倒産した場合どうなるんですか？　クビ？,,"定期的に興業しないとクビにされるけど大手スポンサーだと恩恵も大きいので実のところ新大陸攻略には向いてないんですよね
まぁエタゼロのスポンサーは黄金の天秤商会なので既に新大陸にも版図を伸ばしてるから無問題になりつつはあるんですけど",2020年 04月02日 21:38,2020年 04月02日 21:42
エタゼロニキつぉい,ゅぅゃくんなのか否かが問題だ,セプテントリオンの一言をボソっと呟いて反応するか否かが見極めか,"ゅぅゃくんではないです、あっちはお姉さんに甘えたくてこっちはママに甘えたい
これを混同すると戦争です",2020年 04月02日 21:40,2020年 04月02日 21:43
,,"何気に剣聖と似たような条件を満たさないとなれない最上級ジョブって事は、
エタゼロの癖にプレイヤースキルはかなり上位って事か……","時期が良かったのもある
エタゼロは発売日組の一人で、他のプレイヤーが色々試行錯誤してる中でいち早く闘士ジョブ一本に絞って大会制覇したからこそ
多分今だと全大会制覇の難易度はアホみたいに高くなってるので多分そのうち修正が入る（目立てば制覇しなくてもスポンサーがついて転職可能、とかになるかも？）",2020年 04月03日 2:27,2020年 04月03日 6:50
,,ベビーカーで殴ってきた女が揺り篭に眠る赤子に語りかけるようにってサイコ入ってンなおい。,自我が生まれた時に性格形成の参考にしたのがよりにもよってアンドリューなのでネジが一本外れてる,2020年 04月03日 1:56,2020年 04月03日 6:53
,,鳥に対しておしゃぶりを加えた全身鎧の男と半裸の男がダブルラリアットって絵面面白すぎないだろうか,全身鎧と喪服女のクロスボンバーです,2020年 04月03日 0:59,2020年 04月03日 6:54
エタゼロのキャラが濃すぎて面白い,"封雷の撃鉄を使うと過剰伝達が必ず発動するわけじゃなくて、封雷の撃鉄を使った上で過剰伝達を任意で発動できるのか...
意外と封雷の撃鉄は使い勝手よかったり？",実際に目の前でエタゼロみたいな人が戦ってたら面白すぎて自分が戦闘に集中出来なくなるだろうなぁ,"あ、いえあれはいちいち撃鉄を切ってます
引き金を引いたらそんな都合よくオンオフできません",2020年 04月03日 8:55,2020年 04月03日 12:33
,"もし既に考察やら感想出ていたら悪いけど、あのおしゃぶりにも何か特殊効果があったりするかな？笑
こう夢見る赤ん坊の様にファンタジーの技を習得しやすいとか⋯ないですかね",,"あれ、マウスピースの変形なので強く噛み締めるとちょっとSTRに補正が入る
当然マウスピースの形にしたほうが効果量は多い",2020年 04月03日 7:34,2020年 04月03日 12:34
,ゴースの遺児じゃなくてゴースの遺子じゃね？,,"上位者ゴースが遺した赤子なので遺児ですよ

って書こうとして念のため調べたら遺子だった……いやちょっと待ってブラボ発売してから何年越しの勘違いだこれ！？",2020年 04月03日 19:06,2020年 04月03日 20:53
鯖癌トリオは旅狼の外道達みたいに仲良い(？)ですねー…サンラクにとって、こういう気安い関係が一番楽しいんですかね？,"TGは私も組んでますがハリファイバーの規制に常に怯えてます…もうTGもシャドールもテーマ毎に専用ハリファイバーが欲しいレベルですよ

とりあえず自分はTGにサイキックリフレクター入れてハルバードキャノン/バスター出す構築にしてますね",,TGはシンクロが強化されるたびにライブラリアンの喉元にナイフ突きつけられるのがまぁまぁ見てて大変だなって感じですね、テーマ専用でリメイクするかエラッタしてやれよ……って思います,2020年 04月05日 0:47,2020年 04月05日 2:01
深夜(明け方？)に2000人も集まるライブラリとかいう集団,,これは鉛筆ネキに絞られるか…,厳密にはライブラリは50人くらいだけどパブリック公開なせいで無関係な人も見に来て数が増えて……って感じ,2020年 04月07日 8:39,2020年 04月07日 11:45
ユザーパードラゴンはやはり強かった所,そう言えば最大速度の場面ってオルケストラの再現シーン候補に入るのかな？臨界速解体してるから色々ギミック補助入ったり？,これは草,"ユザーパードラゴンは当時（つまりまだフィフティシアがゴールだった頃）のレベル帯だと
「道中のモンスター達に消耗させられたところで搦め手に特化した飛行型モンスター、ただでさえ近接攻撃が届きづらいのに魔法対策も搭載している。ていうか近づいてくる＝武器を盗みにくる」とかいうキング・オブ・クソモンスターでしたからね
タンクを盾に降りてきたところを全員がかりで殴り倒すのが正解",2020年 04月09日 20:35,2020年 04月09日 20:44
,,"見られても対策しようがないのは本当に草生える

散々ストーリーでイキってたくせに星4の糞雑魚褐色引けましたか…？",引けたんだよなぁ,2020年 04月10日 8:00,2020年 04月10日 8:19
怒涛の他者視点感謝,,"おまる大帝みたいなかわいいイキリキッズかと思ったら、おもいっきり害悪だった
おまる大帝再登場はよ

これで四体目だし、次かその次あたりでサンラク視点にもどるかな？",ディプスロにオフ会はC4にスタンガンくらいヤバい,2020年 04月14日 14:43,2020年 04月14日 14:52
"おお、皇帝よ……
ヒロインちゃんが観てたら乙女の勘でサンラクと百姉の幻影が視える……のか？
さあ観衆よ、理不尽を知るが良い！",,"猿轡の一種さん。
どうだ、私の惚れた男は凄いだろうってドヤ顔しに拡散に来たら
ヨタトロンのウザさに「ついイラっときちゃったんだZE★」だったんだろうなぁ……
",ていうかオフ会に誘われたのディプスロ本人,2020年 04月14日 16:26,2020年 04月14日 16:34
,,この小説読みながら古戦場周回捗る捗る,捗るな捗るな（他者の足にしがみつく古戦場の亡霊）,2020年 04月14日 19:27,2020年 04月14日 19:50
,,"そういえば読み直して気が付いたんだけど

＞「上等だよ、バハムートだろうがなんだろうが骨の髄まで白日に晒してあげるよ」

こんな事言っておきながら勇魚・象牙どっちの攻略にも関われなかった奴がいるんだって？
亡き友への誓いより陰謀策謀優先とか、邪悪黒幕メンタルの鑑ですね。",まぁもう一度せっちゃんに会えるかもしれないからね気になっちゃうね,2020年 04月17日 22:18,2020年 04月18日 17:30
"てっきりドルオタ親父並みのファンがオルケストラにいるからバグったのかと思ったが、別の形の複製同士が顔合わせた結果なのか。
バグったサイナとコピーサンラクの不調の様子が違ったから別に考えてたが、原因同じならそうなるよね。",征服人形がギミックの一部かどうか、以前は場所貸してるだけという結論で探らなかったが実は遠回りしてた？,例の付託ガードは良くない形でルートを外れたお仕置きかと思ったら、ギミック探る過程で必要な予定調和ならモチベ下げ過ぎでクソゲー案件では?,鍵持つのが大前提なのに鍵ぶん投げて扉蹴るやつはアホでしょう、ユニークシナリオはこじ開けるものではないのです,2020年 04月21日 8:00,2020年 04月21日 8:19
,,"今頃、王様サイドでゲーム実況しようとしてた有名配信者達涙目だろうなぁ
これがツチノコ、サンラクかと。
自分たちのショボさに。",特A戦力の手の内が明かされてホクホクなんだよなぁ……,2020年 04月21日 9:15,2020年 04月21日 9:23
更新お疲れ様です,,"古今東西、あらゆる物語においてネタバレは禁忌とされている訳ですが…
原作信者のあの方からのヘイトがまた上がる予感",そらもうキチゲ解放ですよ、今度はりっちゃんがニコニコしてる（ちゃんと攻略してくれてるから）,2020年 04月21日 15:27,2020年 04月21日 17:45
グランドクエストで王国を正せ、という指示もあるみたいですが仮に新王が勝利した場合はどうなるのですか？新王を改心させるクエストが発生するのでしょうか？,,,内ゲバがちょっと長く続く、聖女ちゃんが新大陸に行ったのは単に観光ではないですからね,2020年 04月24日 14:56,2020年 04月24日 15:20
,"どれだけ幻想に夢見たって人はウォシュレットとインターネットを捨てる事は出来ねーんだよ！！
ってこの前言ってた硬梨菜さんの台詞じゃん・・・・
伏線だったのか!!(多分違う)",,"ここちょっと作者の思想入れちゃってますね恥ずかしい……

でもぶっちゃけウォシュレットもトイレットペーパーもない文明に一生飛ばされると考えるとそこそこ辛いものがありますよ",2020年 04月27日 20:34,2020年 04月27日 21:22
,"オルケストラが忖度するのに気を取られて歌がおろそかになるのに
317は回収者の演算するのは歌の邪魔にならないんだろうか？",,"まぁ人間の亡霊とロボを一緒にしてはいけない
一応「戦闘中」だとパフォーマンスが落ちるけど歌うくらいならまぁ別にって感じですね",2020年 04月27日 20:00,2020年 04月27日 21:24
,,ツチノコ型剣聖が変態して進化したかぁ,自力回収手段を得た事で回転力と持続力が増した,2020年 04月27日 19:24,2020年 04月27日 21:25
,,ミレイさん、偽典クリアしたときサンラクさんにドヤってたけど、この配信どんな顔して見てるんだろうか？,正典が出た時点で気持ちの整理は五秒で終わってる,2020年 04月28日 6:19,2020年 04月28日 8:22
とてもアツい展開,"ところで、弱攻撃に対しても忖度ガードしないといけない「サンラク」の装甲なのにワンコのアゴをカチ割ることができる超排撃を食らっても倒せなかったのは変身したからですか？
メタい理由で倒せなかったのであれば忖度ガードもいらないような気がするんですが",,"むさたんモードって人の頭にデカいマスクをかぶってるような状態なんですけど、このマスクめちゃくちゃデカいんですよね
具体的に言うと上顎下顎はぜんぶむさたんパーツで形成されていた変身者本体の頭は喉の奥にある",2020年 05月02日 1:47,2020年 05月02日 5:25
概念に干渉できるっていうのがユニークモンスターの共通点って前にいってましたもんね。なかでもヴァイスアッシュは連想ゲームって強くないですか？,"これ、話的には絶対ないけど、仮にサンラクさんが半年くらいログイン開けてたらサイナちゃんどういう反応するんだろう？　
個人的にだけど、ヤンヤンデレデレムーヴしそう。",,大正昭和くらいの夫人イメージみたいなことになるんじゃないッスかね,2020年 05月02日 12:56,2020年 05月02日 15:55
,,よくよく考えると、サブとはいえサーバーを管理してるAIが肩入れしてる時点でゲームバランスが悪いってゲームそのものから言われてるようなもんですよね…,サブサーバーにも世界観優先派ゲーム優先派プレイヤー優先派で結構分かれてるのです,2020年 05月03日 22:46,2020年 05月03日 22:49
"ものすごい勢いで吹っ飛んでるわけだから、残心も何もあったものではなく。
エア・クッション必須アイテムだな？
壁シミは防げなくても床シミは免れそう。",,これだけ物理エンジン総動員して、イベント武器を使ってもアタックホルダーには届かないんだな。,言うて攻撃スキル一つしか使ってないですからね,2020年 05月04日 15:30,2020年 05月04日 15:35
実質バーでデートですね！配信しながら！,544話でのオルケストラの3つの意思は、エリーゼ、アンドリューともう一つとなってますが、それとは違うってことですかね？,連続更新ありがとうございます！！,エリーゼ、の定義,2020年 05月04日 15:26,2020年 05月04日 15:36
"結局何故最後忖度されなかったのかは分からないケド
とりあえず
・多くの人にネタバレゲロゲロ主人公と
・サイナ可愛いから敵にまわりたく無い
イコールこれから起こる戦いで反旗を翻す敵がどのくらい出るか
面白くなりそう
後、想定以上の人にネタバレってた主人公がどんな顔するのかそれも面白そう",,,"最後忖度されなかった、と言うより忖度のレベルが下がってた、が正解です
「世界」の強度をハイウェイに全て集中させているのでデコトラでキャッチする程度の忖度しかできないのです",2020年 05月05日 3:42,2020年 05月05日 8:19
,,"・冥響正典：渡り鳥

Twitter情報だけどもしアンコール聞かなかったら不懐特性と能力の片方が無くなってたとか相当なクソ要素では？拾ってたらダメージでかすぎ.....

ちなみに偽典の報酬はどんなので？",武器がドロップする,2020年 05月05日 17:02,2020年 05月05日 17:02
,,"そういえばサンラクって、ベヒモスで肉体いじってたよね。
体格大きくしてたはず。
それの女体化版って、めっちゃダイナマイトなんじゃね？",ばるんばるんからばるん！ばるん！適度には,2020年 05月05日 17:54,2020年 05月05日 17:58
,"すいません、Twitterで見かけたのですが
シャンフロの最新話にあるポケットアリアG型10-82119の数字部分って
「永遠（10-8）に（21）往く（19）」って感じの語呂合わせですか？",,"10と
8わ
2に
1ひ
1び
9く",2020年 05月05日 18:12,2020年 05月05日 18:20
,"冥響正典のフレーバーテキストがありません。
バー『マスカレード』のキープグラスのデータもありません。
キープグラスのフレーバーが挟み込まれているようです。

せっかくのエモい冥響正典のフレーバーが……",,合ってますよ,2020年 05月06日 10:27,2020年 05月06日 10:34
,傭兵団って初登場時鉛筆に4人グループって言われてましたけど8人が正しいんです？,,八人です、なんで半減してるんだこいつら,2020年 05月14日 13:51,2020年 05月14日 17:52
,"気になる点のみの感想で失礼します
正典を他者に貸し出すような流れだったように思うのですが、配信でマスクされたネタバレ「ポケットアリアG型10-82119」が記載されてしまっているのが気になります",,"そこ地味に重要
サンラク用にチューンされた真理書なのでトゥルーエンド仕様なんですよ
そして神からすれば何で貸し出すんじゃいってわけで……",2020年 05月25日 14:32,2020年 05月25日 14:45
